Designator,Mid X,Mid Y,Rotation,Layer
C1,140.8622,-109.345652,0.0,top
C10,140.5222,-106.795652,180.0,top
C12,122.956738,-100.414248,0.0,top
C13,119.5926,-98.337452,0.0,top
C14,119.584041,-99.201437,180.0,top
C15,128.861738,-100.160248,270.0,top
C16,122.956738,-101.633449,0.0,top
C5,123.527738,-106.459448,270.0,top
C6,124.797738,-106.459448,90.0,top
C7,131.3938,-100.825652,90.0,top
C8,131.5022,-107.401252,180.0,top
C9,131.489752,-109.371252,180.0,top
D1,133.7622,-100.501252,270.0,top
H1,153.332,-93.7085,0.0,top
H2,153.3321,-114.7071,0.0,top
IC1,131.5022,-105.191252,270.0,top
IC2,124.162738,-103.665448,270.0,top
J1,128.0762,-111.824852,90.0,top
J10,128.0762,-96.584852,90.0,top
J11,140.827,-93.110852,180.0,bottom
J12,150.9616,-98.693052,270.0,bottom
J13,150.9616,-101.243052,270.0,bottom
J14,150.9616,-106.938052,270.0,bottom
J15,150.9616,-109.488052,270.0,bottom
J2,150.6822,-108.338376,90.0,top
J3,150.682201,-100.057976,90.0,top
J4,147.177,-93.12946,0.0,bottom
J5,144.637,-93.129462,0.0,bottom
J6,141.9192,-114.466452,180.0,top
J7,128.0812,-115.634852,90.0,top
J8,128.0762,-92.774852,270.0,top
J9,138.287,-93.110852,180.0,bottom
JP5V5,138.033,-115.177652,270.0,bottom
L1,140.299193,-102.249052,0.0,top
L2,128.1172,-104.101252,270.0,top
LED1,118.664134,-104.331852,90.0,top
LED2,137.5758,-115.584052,270.0,top
LED3,137.5758,-92.801952,90.0,top
Q1,119.7196,-107.221448,0.0,top
Q4,141.462,-96.915052,270.0,top
R1,134.6122,-107.745652,270.0,top
R10,140.5222,-107.945652,180.0,top
R11,138.795,-96.940452,90.0,top
R12,133.5622,-104.591252,180.0,top
R13,133.5622,-103.561252,0.0,top
R14,138.4394,-92.800252,270.0,top
R15,122.156138,-106.804848,270.0,top
R16,122.156138,-103.157448,90.0,top
R17,122.968938,-98.820052,0.0,top
R18,118.2972,-114.136252,90.0,top
R19,118.2972,-112.314252,90.0,top
R2,124.1172,-108.501252,180.0,top
R20,122.156138,-109.132452,270.0,top
R3,124.1172,-109.701252,180.0,top
R4,122.156138,-104.986248,90.0,top
R5,119.6434,-104.331852,90.0,top
R6,120.564134,-104.331852,270.0,top
R7,137.5758,-113.298052,270.0,top
R8,131.350938,-103.157448,0.0,top
R9,137.5758,-94.832252,270.0,top
S2,141.9192,-93.587652,180.0,top
TP1,147.163645,-113.549315,270.0,bottom
TP2,122.9962,-100.979052,90.0,bottom
TP3,125.5412,-105.679448,90.0,bottom
TP4,131.2512,-105.70982,90.0,bottom
TP6,133.2324,-100.979052,270.0,bottom
U1,119.614134,-101.511851,270.0,top
U2,126.408514,-100.092298,90.0,top
U3,137.6172,-107.993252,90.0,top
U4,127.5172,-108.501252,180.0,top
